Recency,Frequency,Monetary
1159,1,97.92
1543,1,9.23
1231,1,47.79
791,1,91.41
1038,1,53.32
507,2,169.01
215,1,65.78
1085,1,27.85
816,1,40.62
374,1,29.57
600,1,93.0
434,1,81.4
746,1,36.44
1374,1,7.99
135,1,10.1
898,1,71.85
1093,1,42.27
1567,1,61.69
945,1,68.45
263,1,35.52
1599,1,46.23
1024,1,36.81
1475,1,71.23
961,1,38.52
985,1,31.52
340,2,106.78999
166,1,58.25
1439,1,8.37
22,1,39.29
1540,1,37.48
993,1,90.03
1047,1,12.28
589,1,7.87
835,1,52.13
1444,1,60.28
1266,1,19.06
451,1,89.49
1257,1,28.56
1193,1,65.17
1129,1,37.4
1227,1,36.32
503,1,75.81
1100,1,87.53
238,1,22.29
180,1,61.02
93,1,89.46
1017,1,6.76
897,1,63.65
1111,1,20.59
406,1,36.33
879,1,40.16
1252,1,77.37
1557,1,62.82
153,1,28.85
882,1,7.0
1504,1,70.07
241,1,43.21
70,1,53.13
792,1,47.62
384,1,15.01
1407,1,42.24
767,1,48.08
204,1,26.67
853,1,38.86
243,1,33.21
953,1,33.87
326,1,83.92
313,2,98.91
578,1,44.58
198,1,16.09
1136,1,91.34
409,1,76.59
926,1,28.45
1075,1,29.48
839,1,47.64
481,1,76.34
178,1,81.35
1097,1,27.43
1509,1,28.22
207,1,58.33
1369,1,93.33
1282,1,9.22
904,3,60.75
293,1,12.88
900,1,31.65
1043,1,11.35
826,2,16.95
164,1,52.54
1502,1,75.62
866,2,99.11
1356,1,45.97
761,1,60.49
537,2,104.9
1416,1,90.95
1137,1,85.94
1261,1,15.12
101,2,63.030003
906,1,93.95
587,1,48.89
139,1,33.02
720,1,48.05
422,2,129.2
375,1,51.59
1093,1,79.5
1451,1,65.0
342,1,73.7
1401,1,79.38
326,2,184.73999
411,2,68.54
647,1,31.82
905,1,42.53
815,1,49.75
645,1,64.01
619,1,92.48
312,1,46.62
1363,1,64.16
622,2,79.23
783,1,85.63
1184,1,20.15
978,1,94.27
571,2,90.92
1574,1,94.23
427,1,39.19
1566,1,31.89
365,2,128.44
1032,1,36.08
144,1,55.1
679,1,74.68
681,3,114.19
1479,1,86.56
897,1,48.54
1031,1,97.12
289,1,56.63
39,1,14.25
703,1,99.42
1456,1,93.94
93,2,157.54
834,1,96.41
1297,1,48.12
1157,1,79.64
711,3,161.51999
1200,1,46.15
1358,1,22.28
1207,1,13.6
695,1,93.5
580,2,103.18
1179,1,85.0
984,1,28.42
1144,1,47.76
575,2,104.72
1151,1,66.27
1086,1,82.1
916,1,17.01
230,2,154.06
1382,1,27.22
1463,1,89.02
495,3,143.62
877,1,12.86
501,1,73.15
242,2,56.48
1166,1,57.88
872,1,95.97
90,2,91.46
44,1,93.77
906,1,14.63
852,1,92.11
604,1,72.75
337,1,34.71
274,2,174.73999
460,1,63.81
150,1,13.84
1354,1,21.02
798,1,28.27
851,1,95.65
205,1,76.21
84,1,11.29
832,1,69.32
495,1,27.21
113,1,97.85
838,1,40.79
614,1,66.26
551,1,7.65
322,1,73.69
1564,1,28.26
1563,1,25.36
446,1,59.79
136,1,57.3
1432,1,57.67
36,1,5.37
744,1,19.88
883,1,26.78
903,1,23.37
1508,1,43.94
888,1,15.75
157,1,98.98
61,1,80.32
1034,1,27.29
1086,1,93.88
109,1,70.5
563,1,6.93
1092,1,93.51
354,1,86.34
504,1,18.73
209,1,83.1
1194,1,22.66
193,1,98.11
1362,1,8.31
1409,1,58.88
53,1,62.15
1510,1,74.71
1432,1,50.96
154,1,91.97
223,1,8.62
952,1,71.42
712,1,32.55
249,1,56.71
453,1,14.37
680,1,46.93
1222,1,81.04
1092,1,55.5
818,1,66.36
1288,1,50.13
938,1,37.51
890,1,34.28
606,1,61.73
806,1,74.19
310,1,92.73
120,1,70.56
806,1,9.01
581,1,88.46
237,1,37.76
371,1,94.42
1001,1,31.69
334,1,46.25
4,1,43.22
87,1,72.7
427,1,62.08
1491,1,88.01
362,1,39.62
1193,1,23.15
215,1,12.48
1126,1,15.77
886,1,99.51
206,1,20.81
53,1,28.29
240,1,84.54
788,1,99.58
1010,1,19.71
36,1,15.5
950,1,31.31
1187,1,24.15
956,1,32.37
232,1,60.19
1597,1,7.96
846,1,34.11
1461,1,69.16
940,1,5.44
625,1,13.26
1234,1,79.11
420,1,47.34
188,1,43.99
404,1,50.17
1237,1,95.86
670,1,16.4
949,1,31.12
51,1,92.32
215,1,35.75
1172,1,28.36
690,1,22.5
179,1,40.8
928,1,67.48
1344,1,92.29
214,1,91.23
305,1,41.68
1453,1,38.84
1229,1,34.2
1432,1,58.98
945,1,88.45
577,1,14.85
1442,1,83.38
127,2,126.2
732,1,89.99
303,1,6.14
749,1,55.55
940,1,14.79
973,1,12.9
236,1,95.38
82,1,28.93
1127,1,59.41
778,1,27.56
469,1,55.65
1480,1,80.97
1515,1,16.3
763,1,38.59
1188,1,46.17
1344,1,37.11
519,1,67.2
770,1,62.42
904,1,36.58
800,1,73.94
56,1,22.82
657,1,25.36
1436,1,19.32
708,2,122.479996
1404,1,32.22
555,1,19.04
851,1,82.55
1300,1,25.15
417,1,49.06
891,1,56.55
646,1,80.88
1472,1,75.18
1583,1,26.13
1392,1,99.04
1250,1,40.87
1069,1,51.74
1591,1,5.52
93,1,97.2
1481,1,51.36
709,1,54.2
224,1,30.83
896,1,72.43
627,1,28.78
240,1,75.81
808,1,20.42
903,1,25.17
197,1,28.73
1439,1,96.54
106,1,87.32
1211,1,11.19
952,1,74.38
1008,1,82.22
641,1,80.69
263,1,10.98
1005,1,64.62
654,1,18.45
747,1,30.3
1305,1,19.14
434,1,83.94
1594,1,16.04
656,1,27.34
688,1,81.25
1075,1,32.28
694,1,96.7
102,1,65.25
714,1,35.55
795,1,68.21
1445,1,82.73
196,1,22.84
1026,1,27.6
1015,1,79.57
415,1,35.24
978,1,76.45
259,1,18.01
1237,1,99.89
637,1,86.86
471,1,50.24
1262,1,70.76
857,1,61.95
310,1,50.92
288,1,15.19
1240,1,37.91
1482,1,24.28
189,1,46.08
1317,1,9.19
613,1,39.87
1554,1,92.68
631,1,72.12
1034,1,39.87
1095,1,47.47
152,1,12.59
457,1,62.49
1277,1,45.48
1398,1,34.63
931,1,45.34
578,1,55.7
341,1,29.74
541,1,42.1
1226,1,32.2
392,1,51.25
559,1,95.72
377,1,96.71
1537,1,57.5
99,1,7.18
399,1,26.17
469,1,22.75
1061,1,65.67
150,1,88.9
578,1,49.45
1181,1,76.5
1497,1,52.76
1285,1,7.22
515,1,49.86
88,1,58.5
877,1,62.36
1454,1,5.08
434,1,77.24
617,1,19.59
589,1,71.81
1429,1,58.94
613,1,40.67
539,1,63.47
1529,1,78.8
1571,1,32.92
450,1,80.34
778,1,51.48
383,1,86.51
70,1,85.52
1346,1,66.12
386,2,141.57
659,1,40.78
559,1,46.63
1321,1,23.72
93,1,5.07
1243,1,22.41
1209,1,11.05
741,1,62.42
470,1,18.12
867,1,59.28
249,1,98.29
1272,1,96.37
1480,1,9.67
420,1,52.49
1509,1,95.32
1440,1,24.39
882,1,38.78
107,1,93.53
187,1,51.49
1521,1,56.72
823,1,74.09
61,1,16.96
932,2,78.63
520,1,19.97
1166,1,48.3
113,1,34.93
107,1,83.69
1,1,96.92
71,1,23.97
128,1,84.76
745,1,78.46
204,1,5.38
735,1,36.0
1053,1,67.46
703,1,70.36
877,1,11.99
412,1,76.25
296,1,54.61
759,1,46.52
1539,1,35.03
365,1,68.31
1162,1,13.38
1386,1,84.2
67,1,23.59
1191,1,15.66
1015,1,48.19
1444,1,19.3
431,1,38.09
1182,1,44.19
1124,1,59.66
317,1,40.53
14,1,63.65
447,1,63.63
1144,1,82.06
390,1,90.71
701,1,69.31
1109,1,92.85
116,1,76.11
1356,1,17.87
516,1,61.4
1295,1,73.58
1003,1,18.43
605,1,67.17
1517,1,59.22
1588,1,76.04
1112,1,51.96
651,1,49.34
92,1,80.5
430,1,20.47
900,1,32.59
750,1,6.61
1541,1,79.82
105,1,54.39
1467,1,22.52
209,1,78.82
394,1,74.63
1340,1,94.32
447,2,56.33
1123,1,86.54
775,1,91.93
1418,1,61.04
248,2,58.27
1109,1,10.76
763,1,47.75
111,1,70.13
164,1,7.57
1515,1,81.75
130,1,48.79
975,1,67.82
740,1,95.2
1231,1,59.07
742,1,32.2
930,1,12.18
800,1,88.01
1517,1,37.02
1098,1,44.11
1171,1,81.38
382,1,11.06
458,1,14.34
596,1,43.14
407,1,26.25
148,1,55.23
1168,1,91.68
947,1,5.98
199,1,86.49
587,1,25.37
557,1,82.89
333,2,118.3
639,1,30.04
1359,1,91.87
612,1,15.05
737,1,8.75
1333,1,5.57
83,2,128.42
1182,1,52.13
969,1,95.68
101,1,25.51
962,1,72.75
749,1,29.86
317,1,8.79
210,1,40.39
1397,1,91.53
319,1,46.72
463,1,44.29
959,1,96.61
915,1,45.85
368,3,169.66
1497,1,82.31
936,1,14.89
1439,1,40.24
913,1,46.35
1575,1,19.79
775,1,69.83
419,1,15.87
837,2,110.58
815,1,88.91
1,1,80.52
1567,1,90.72
279,1,11.05
896,1,58.41
228,1,92.28
1291,1,33.42
489,1,49.1
670,1,29.82
280,1,42.31
396,1,77.6
296,1,49.12
466,1,96.04
6,1,83.41
1225,1,74.88
446,1,51.71
1346,1,77.73
1107,1,52.0
1082,1,42.32
535,1,77.3
662,2,155.89
853,1,85.59
189,1,6.04
1200,1,92.61
1042,1,65.63
1451,1,83.57
380,1,5.41
570,1,18.16
131,1,40.25
1232,1,73.57
98,1,74.6
1102,1,17.28
903,1,84.1
468,1,55.64
1040,1,44.01
233,1,69.5
123,1,75.89
1595,1,29.12
143,1,91.52
1232,1,34.21
269,1,21.29
397,1,96.75
784,2,114.43
318,1,18.17
359,1,33.34
996,1,51.5
1441,1,53.36
152,1,30.0
49,1,54.11
157,1,35.99
757,1,76.97
95,1,80.37
772,1,18.69
941,1,59.35
535,1,58.38
1238,1,11.85
299,1,19.09
1438,1,55.48
1379,1,66.26
1035,1,27.58
1268,1,8.08
149,1,52.54
669,1,90.49
1586,1,73.1
134,1,87.2
541,2,126.43
559,1,66.11
312,1,75.66
1328,1,16.45
819,2,66.64
1400,1,99.8
697,1,78.48
185,1,20.19
1021,1,44.63
462,1,88.51
1443,1,83.83
1485,1,26.75
983,1,26.65
244,1,62.39
470,1,7.08
1553,1,57.61
285,3,144.04999
1534,1,25.15
713,1,87.36
106,1,56.6
1158,1,61.88
231,1,67.12
674,1,78.42
803,1,22.06
143,1,88.82
1283,1,60.14
207,2,103.06
236,1,83.83
421,1,33.38
769,1,30.22
807,1,36.13
1505,1,19.78
384,1,5.38
245,1,77.39
1464,2,158.45999
1114,1,72.41
705,1,22.01
1494,1,94.16
1105,1,20.47
19,1,79.31
1411,1,24.78
654,1,83.39
184,1,42.25
184,1,63.34
814,2,105.65
1073,1,19.53
38,1,68.58
1511,1,59.88
1371,1,39.3
828,1,83.48
325,1,39.17
275,1,83.26
1130,2,50.34
1167,1,91.4
723,1,65.18
34,1,60.9
861,1,81.23
238,1,39.17
887,1,5.95
67,1,52.76
216,2,92.06
30,3,65.78
694,1,70.98
201,3,103.67
913,1,55.04
1072,1,46.02
562,3,246.51999
268,1,89.84
576,2,61.050003
1199,2,148.77
144,1,97.13
1456,1,47.66
240,1,23.44
714,3,163.72
367,1,20.88
86,1,48.96
1466,1,21.77
962,1,56.8
1281,1,27.02
1493,1,18.67
1290,1,43.04
1187,1,29.41
576,2,63.18
146,1,5.12
1146,1,97.36
1115,1,87.72
1572,1,47.81
837,1,79.4
948,1,61.95
797,1,49.99
1388,1,23.94
1110,1,30.73
92,1,19.93
1166,1,19.51
1347,1,56.57
953,1,65.13
292,1,75.37
91,1,52.32
826,1,82.04
622,1,23.98
1444,1,65.93
1189,1,14.4
954,1,57.98
579,2,126.5
798,1,65.48
1401,1,65.49
958,4,353.89
1205,1,22.62
982,1,91.74
1037,1,67.43
641,1,42.44
30,2,105.53
1308,1,74.81
919,2,84.86
592,1,11.05
1274,1,81.8
1396,1,22.71
739,2,139.89
1371,1,58.76
518,1,8.99
800,1,7.46
1028,1,89.59
152,2,101.68
1277,1,83.99
1138,1,7.31
1439,1,13.07
1567,1,95.13
427,1,68.37
1166,1,81.83
1101,1,69.47
1000,1,98.92
1368,1,99.33
25,1,28.26
923,1,54.04
280,1,26.94
1032,1,68.27
22,1,61.12
189,1,31.82
463,1,56.57
25,1,43.66
1479,1,61.28
720,1,89.98
656,1,12.56
808,1,76.14
283,1,24.89
846,1,86.49
270,1,45.8
1275,1,92.14
1,1,25.02
550,1,79.45
569,1,82.13
416,1,33.81
735,1,76.33
613,1,91.55
1099,1,66.5
59,1,12.37
1168,1,35.11
711,1,60.52
431,1,19.62
401,1,94.49
99,1,30.25
1013,1,81.72
1563,1,30.32
303,1,91.09
1151,1,57.61
1385,1,59.49
1001,1,39.83
181,1,47.55
905,1,86.86
1402,1,96.33
593,1,55.62
38,1,8.39
293,1,88.99
389,1,62.32
1213,1,75.81
1207,1,46.44
403,1,79.08
437,1,59.83
112,1,68.25
1382,1,44.52
942,1,31.91
320,1,25.89
676,1,34.66
1223,1,18.18
108,1,89.63
647,1,68.78
842,1,69.51
1249,1,19.84
1019,1,47.0
20,1,47.54
579,2,123.100006
865,1,89.84
125,1,36.89
514,1,20.44
975,1,80.01
1062,1,58.38
1379,1,41.25
825,1,72.87
1335,1,32.52
413,1,26.77
1455,1,45.64
318,1,31.16
1369,1,35.54
476,1,98.17
194,1,63.18
1377,1,71.21
46,1,68.38
1398,1,26.28
1466,1,88.84
1450,1,38.02
1590,1,37.67
1498,1,68.88
639,1,34.21
148,1,12.27
80,1,20.33
874,1,91.87
203,1,90.4
760,1,25.21
662,1,41.55
455,1,24.63
382,1,84.93
1494,1,68.08
1217,1,15.73
321,1,60.18
938,1,81.02
592,1,79.73
504,1,37.77
1073,1,86.17
858,1,6.46
132,1,82.96
1287,1,17.09
1473,1,36.07
14,1,90.35
1271,1,74.45
870,1,84.09
627,1,84.52
1261,1,95.08
1278,1,31.58
673,1,15.2
1112,1,34.17
965,1,24.51
185,1,54.1
1044,1,62.75
334,1,85.38
1412,1,84.8
1297,1,63.95
1341,1,33.44
1268,1,5.64
1213,1,17.88
1069,1,80.69
499,1,57.51
1525,1,79.89
189,1,58.64
452,1,18.58
539,1,48.61
587,1,76.41
398,1,11.3
977,1,71.65
1110,1,77.25
305,1,96.31
131,1,14.57
888,1,49.99
1159,1,63.02
1598,1,57.38
1058,1,74.89
994,1,33.96
1189,1,75.8
1167,1,17.74
1319,1,11.82
830,1,72.77
501,1,9.51
824,1,96.92
717,1,35.0
70,1,20.73
688,1,14.33
47,1,57.24
931,1,21.82
1542,1,42.57
727,1,73.95
1458,1,75.3
1415,1,89.81
153,1,18.65
41,1,37.13
1007,1,16.31
295,1,99.79
1202,1,52.6
1590,1,81.8
786,1,66.64
631,1,25.23
1555,1,36.9
1385,1,67.43
1549,1,14.38
848,1,22.7
424,1,60.46
1525,1,37.64
1145,1,88.26
280,1,68.75
519,1,37.72
329,2,129.18
1561,1,17.49
539,1,15.67
223,2,88.61
279,1,41.01
1388,1,76.72
104,1,47.99
973,1,55.92
149,1,67.29
1302,1,64.39
1149,1,10.82
553,1,81.24
1430,1,58.75
941,1,59.48
577,1,60.86
244,1,23.52
367,1,60.92
56,1,60.53
857,1,61.32
1283,2,160.23
44,1,53.06
397,1,50.52
409,1,15.96
949,1,23.35
910,1,68.51
165,1,28.13
775,1,47.76
1002,1,6.93
1571,1,79.99
34,1,16.18
1016,1,72.73
79,1,9.56
563,1,48.17
238,1,73.09
1297,1,27.4
708,1,46.63
1034,1,54.9
532,1,92.25
286,1,35.13
489,1,45.25
107,1,77.34
813,1,14.45
1419,1,40.69
713,1,80.51
579,1,24.85
445,1,11.89
251,1,47.21
659,1,76.72
629,1,30.02
1227,1,51.33
325,1,19.13
1318,1,52.02
933,1,72.38
1537,1,37.33
1399,1,43.05
1066,1,21.09
27,1,90.37
419,1,31.35
22,1,23.92
980,1,98.89
1129,1,26.72
267,1,91.84
1068,1,34.74
309,1,32.31
31,1,86.11
570,1,80.35
734,1,53.22
1431,1,28.77
1211,1,55.78
516,1,85.84
198,1,5.81
37,1,9.89
1260,1,68.54
1579,1,77.45
353,1,31.57
51,1,81.09
1093,1,95.44
1037,1,80.73
1548,1,59.37
1360,1,84.86
161,1,93.62
575,1,35.51
960,1,92.58
21,1,78.43
1121,1,34.63
785,1,42.87
408,1,40.88
1455,1,58.44
589,1,66.25
912,1,35.74
1261,1,11.27
925,1,39.67
31,1,36.46
1529,1,12.53
1435,1,97.0
639,1,83.15
357,1,6.87
1041,1,96.38
145,1,93.4
1562,1,25.86
974,1,75.53
91,1,34.04
524,1,87.46
1237,1,41.29
1477,1,30.54
432,1,71.94
560,1,80.38
589,1,85.84
503,1,20.15
88,1,45.26
43,1,9.34
1171,1,98.19
1409,1,66.39
1177,1,72.73
551,1,92.04
1300,1,79.83
1376,1,49.59
787,1,26.01
766,1,75.84
314,1,32.36
1177,1,24.19
1125,1,26.74
806,1,58.1
800,1,8.52
498,1,13.28
987,1,12.64
1023,1,95.92
1541,1,22.03
880,1,97.53
737,1,45.84
194,1,47.47
707,1,26.43
134,1,88.49
1498,1,75.47
589,1,11.47
736,1,67.92
125,1,94.61
1595,1,51.68
269,1,46.4
261,1,14.21
1263,1,46.06
124,1,41.16
28,1,98.52
1344,1,26.65
1343,1,32.01
474,1,18.47
798,1,92.6
97,1,79.98
1085,1,76.81
1258,1,80.54
345,1,75.72
527,1,87.14
115,1,94.14
764,1,50.32
392,1,54.48
1230,1,85.88
1272,1,94.28
660,1,96.9
1311,1,21.45
737,1,85.75
630,1,72.5
1442,1,16.66
1569,1,22.54
1375,1,99.91
25,1,51.17
827,1,84.7
350,1,20.88
903,1,79.26
633,1,71.24
1341,1,92.74
714,1,62.77
578,1,31.04
703,1,37.11
38,1,24.2
695,1,14.82
968,1,58.69
666,1,52.27
1458,1,50.88
995,1,32.27
275,1,78.56
1027,1,68.97
1375,1,99.56
28,1,52.84
847,1,47.8
1125,1,38.55
1150,1,40.35
946,1,52.51
550,1,28.43
766,1,47.42
1568,1,77.74
392,1,73.64
237,1,15.17
228,1,97.54
575,1,66.29
990,1,69.73
698,1,51.09
1566,1,52.38
816,1,91.87
990,1,7.88
1547,1,84.28
201,1,64.31
1281,1,20.92
324,1,88.29
1167,1,56.49
1541,1,45.0
1274,1,20.11
288,1,38.95
1509,1,68.07
1475,1,12.01
1130,1,85.56
837,1,93.12
430,1,97.34
1248,1,77.17
922,1,30.47
776,1,43.47
1153,1,33.97
1312,1,78.45
953,1,69.64
35,1,24.48
1074,1,63.88
1513,1,79.29
282,1,84.29
857,1,70.38
1284,1,62.03
906,1,82.8
17,1,43.6
1013,1,46.0
543,1,44.82
309,1,89.12
1377,1,40.13
1067,1,40.61
1557,1,57.35
412,1,92.29
96,1,45.6
771,1,87.25
496,1,76.54
1362,1,77.22
197,1,20.25
1527,1,7.75
1261,1,80.23
675,1,26.25
299,1,79.06
767,1,80.17
422,1,31.62
637,1,73.95
523,1,96.59
1401,1,12.79
310,1,68.39
1236,1,21.35
49,1,96.45
141,1,96.1
546,1,14.52
1528,1,80.57
1407,1,40.38
811,1,81.26
998,1,30.88
1033,1,10.44
571,1,21.13
1098,1,68.85
313,1,31.58
556,1,32.21
618,1,90.19
1114,1,16.3
182,1,80.15
1532,1,57.66
114,1,37.62
1023,1,15.93
1313,1,17.53
635,1,92.19
1129,1,7.7
860,1,97.34
1488,1,21.96
1225,1,43.55
369,1,60.11
763,1,59.87
326,1,30.56
1016,1,67.13
711,1,12.57
73,1,47.7
524,1,94.12
1038,1,51.67
1370,1,55.88
1402,1,29.58
745,2,84.75
131,1,71.47
961,1,63.88
398,2,49.91
1553,1,11.62
168,1,55.45
731,1,81.68
900,1,40.51
1056,1,14.42
1374,1,28.17
532,1,61.95
683,1,83.9
729,1,34.38
344,1,71.6
1598,1,98.66
1031,1,39.93
1160,1,22.5
46,2,83.72
702,1,67.0
191,1,64.86
1474,1,7.04
883,1,56.0
500,1,62.1
189,1,15.56
139,1,60.02
74,1,89.81
1288,1,49.83
1278,1,94.69
580,1,47.26
611,1,33.55
1026,1,92.88
43,1,34.04
479,2,122.85
1075,1,65.08
911,1,26.58
1297,1,34.87
1131,1,92.49
567,3,175.51
517,2,87.729996
796,1,95.86
782,1,98.16
178,1,47.13
407,1,83.48
1506,1,31.79
1517,1,58.54
97,1,36.37
968,1,60.54
265,1,74.39
1165,1,83.03
587,2,63.52
951,1,37.1
1111,1,5.02
24,1,82.02
162,1,59.84
1357,1,43.82
238,1,75.92
742,2,83.43
594,1,32.56
443,1,21.03
1182,1,74.39
1343,1,73.7
3,1,10.78
1124,1,75.79
626,1,89.17
352,1,45.18
1424,1,18.02
1375,1,62.57
107,1,45.04
804,1,79.5
964,1,10.29
558,1,50.66
1200,1,68.05
1282,1,88.19
785,1,53.08
19,1,96.06
44,1,13.15
181,1,18.96
301,1,40.3
1467,1,92.47
602,1,92.98
681,1,62.74
831,1,19.14
276,1,27.34
263,1,20.45
1151,1,62.63
1580,1,27.99
1034,1,81.3
985,1,23.56
151,2,61.969997
204,1,61.14
692,1,52.78
1373,1,99.4
928,1,20.79
989,1,36.56
1199,1,68.69
1239,1,95.09
1525,1,25.02
786,1,12.76
19,1,38.8
289,1,68.63
796,1,37.85
382,1,47.38
1470,1,74.4
957,1,93.59
757,1,58.11
946,1,88.12
56,1,94.35
113,1,94.39
545,1,72.41
492,1,93.55
18,1,72.36
1577,1,7.55
294,2,60.54
391,1,45.26
1586,1,36.19
1073,1,16.59
123,1,12.26
1543,1,86.78
1155,1,64.61
1073,1,5.2
125,1,34.8
319,1,8.81
631,1,90.97
593,1,15.15
1087,1,25.03
770,1,14.65
895,1,59.49
576,1,32.87
992,1,78.14
516,1,55.79
17,1,89.38
810,2,150.23
918,1,97.09
1538,1,17.24
1544,1,84.42
715,2,64.46
888,1,90.16
581,1,59.11
1367,1,85.52
530,1,46.07
204,1,82.05
1571,1,17.23
856,1,59.62
125,1,74.05
1526,1,84.54
1547,1,38.42
986,2,160.29001
1380,1,16.23
1470,1,23.54
1384,1,20.15
955,1,31.66
69,1,26.19
1247,1,37.89
1471,1,67.45
472,1,50.87
1442,1,50.26
34,1,51.4
454,1,27.23
1077,1,29.12
200,1,26.73
753,1,95.76
1138,1,38.93
651,1,66.16
648,1,27.42
496,1,64.7
277,1,88.91
1454,1,16.96
868,1,38.33
41,1,98.74
1312,2,66.85
894,1,91.25
1338,1,80.79
513,1,42.14
1120,1,86.88
103,1,67.06
708,1,95.11
823,1,8.56
37,1,6.51
1173,1,27.19
739,1,99.43
1480,1,97.72
79,1,75.13
207,1,69.24
1454,1,21.45
442,1,84.11
1155,1,34.06
1375,1,38.49
308,1,20.98
549,1,46.26
1044,1,93.2
500,1,42.07
926,1,56.0
1559,1,20.6
239,1,52.42
224,1,67.47
718,1,89.5
1542,1,19.01
203,1,21.52
916,1,23.99
668,1,5.79
283,1,54.37
564,1,79.49
4,1,69.5
355,1,6.45
822,1,92.29
1394,1,82.77
1110,1,66.91
1303,1,73.96
989,1,95.13
1560,1,92.4
1247,1,96.49
470,1,59.56
1577,1,37.52
509,1,24.74
1357,1,90.51
667,1,94.37
1028,1,61.14
1028,1,29.24
149,1,40.03
365,1,60.82
1237,1,89.5
885,1,88.08
789,1,95.16
1586,1,31.16
251,1,7.41
320,1,34.73
377,1,83.47
194,1,32.97
1180,1,20.06
788,2,89.880005
413,1,77.78
1354,1,34.07
1461,1,12.16
273,1,53.48
46,1,20.03
273,1,99.99
826,1,68.71
1099,1,30.68
1379,1,40.85
376,1,89.62
587,1,14.46
899,1,48.65
319,1,43.59
444,1,30.41
1065,1,49.13
988,1,11.89
1523,1,22.92
1158,1,58.55
250,1,5.35
1326,1,25.78
751,1,79.45
626,1,53.32
1455,1,81.51
1185,1,94.05
402,1,74.16
465,1,83.63
82,1,77.81
476,1,36.82
224,1,94.03
1259,1,97.38
627,1,42.95
869,1,26.33
1251,1,31.35
810,1,16.45
635,1,14.95
563,1,49.13
115,1,97.25
947,1,41.83
1268,1,97.71
863,1,21.24
346,1,50.96
1167,1,53.94
488,1,98.11
376,1,40.7
1021,1,86.86
55,1,12.37
493,1,69.46
398,1,64.85
304,1,83.0
355,1,42.41
291,1,56.69
1111,1,84.22
855,1,64.73
1557,1,17.58
698,1,73.49
93,1,88.98
593,1,40.33
981,1,21.89
1112,1,13.34
738,1,25.64
834,1,88.71
690,1,83.5
707,1,12.04
1044,1,40.63
932,1,84.72
1085,1,81.0
39,1,13.21
0,1,36.05
952,1,73.19
1198,1,13.32
1012,1,37.66
482,1,12.2
304,1,76.7
197,1,82.56
972,1,96.5
572,1,81.11
794,1,39.27
1555,1,72.02
118,1,48.33
919,1,46.91
1417,1,27.33
661,1,50.52
578,1,40.69
206,1,44.91
730,1,63.33
251,1,55.47
470,1,96.45
694,1,94.6
1070,1,61.84
1340,1,60.35
971,1,51.8
1212,1,28.49
1013,1,72.86
1479,1,33.62
424,1,40.46
568,1,70.86
488,1,24.55
1080,1,75.13
1452,1,53.31
215,1,51.49
1118,1,9.84
1023,1,51.72
352,1,31.93
436,1,45.84
351,1,56.91
1588,1,63.76
1201,1,26.42
1403,1,48.75
180,1,22.37
1251,1,9.46
447,1,41.35
552,1,31.53
925,1,94.39
1153,1,45.0
403,1,67.05
673,1,39.74
1303,1,13.34
1307,1,34.0
959,1,74.86
1485,1,53.17
270,1,62.24
55,1,57.42
909,1,8.05
1366,1,20.75
116,1,54.04
391,1,38.95
689,1,72.36
822,1,91.35
1129,1,55.49
1082,1,74.33
699,1,29.89
762,1,50.73
1304,1,81.86
28,1,19.89
967,1,83.08
1162,1,25.53
546,1,58.99
588,1,92.74
1437,1,19.24
1044,1,13.49
328,1,41.05
867,1,29.68
285,1,52.57
580,1,98.34
1095,1,64.41
1109,1,64.34
1154,1,47.12
1350,1,87.51
670,1,79.4
760,1,85.56
1222,1,11.41
166,1,65.97
685,1,54.98
985,1,50.75
204,1,27.16
1051,1,67.61
1402,1,15.14
1511,1,51.87
683,1,34.22
1157,1,75.93
1038,2,141.14
194,1,9.67
989,2,40.32
820,1,47.12
375,1,12.74
549,1,92.55
85,1,21.41
1297,1,32.39
658,1,11.19
1455,1,18.11
593,1,77.38
441,1,90.86
1506,1,45.3
1494,1,16.26
1293,1,14.91
461,1,64.36
816,1,69.23
688,1,15.25
634,1,83.21
1288,1,98.58
1195,1,66.69
1395,1,44.63
354,1,74.38
1321,1,70.92
1150,2,110.380005
536,1,93.28
396,1,32.2
456,1,30.98
178,1,84.96
1339,1,75.88
1007,1,54.31
1373,1,64.54
874,1,90.58
1430,1,17.58
1450,1,10.94
916,1,49.95
1320,1,56.27
987,1,73.88
100,1,66.98
1344,1,61.18
261,1,22.1
677,1,34.88
499,1,36.21
679,1,91.35
1120,1,12.85
208,1,96.98
549,1,83.68
1092,1,89.95
1440,1,88.0
124,1,64.99
728,1,34.8
1477,1,29.0
712,1,8.53
850,1,71.08
354,1,42.06
1385,1,97.83
1267,1,75.88
930,1,75.48
413,1,72.93
51,1,25.07
1515,1,81.27
742,1,23.81
1569,1,22.82
109,1,70.47
1310,1,93.59
342,2,119.67
187,1,45.25
967,1,56.33
802,1,80.89
684,1,62.95
659,1,66.17
1598,1,56.54
1224,1,83.2
1250,1,34.54
315,2,174.61
633,1,98.15
312,1,75.68
1565,1,9.95
19,1,73.48
1275,1,16.44
975,1,97.85
603,1,77.16
645,1,12.31
1464,1,5.11
504,1,25.82
692,1,17.95
1450,1,44.51
221,1,16.2
338,1,51.88
1020,1,60.18
147,1,34.99
